Run,Strategy,TimeToCapture_s,PathLength_cm,StartDistance_cm,Success
1,parallel_navigation,10.02,1001.67,650.79,True
2,parallel_navigation,31.23,3123.33,164.44,True
3,parallel_navigation,9.87,986.67,616.02,True
4,parallel_navigation,4.72,471.67,203.02,True
5,parallel_navigation,7.6,760.0,618.86,True
