Run,Strategy,TimeToCapture_s,PathLength_cm,StartDistance_cm,Success
1,parallel_navigation,8.25,825.0,650.79,True
2,parallel_navigation,1.82,181.67,164.44,True
3,parallel_navigation,12.48,1248.33,616.02,True
4,parallel_navigation,10.7,1070.0,203.02,True
5,parallel_navigation,7.52,751.67,618.86,True
