Run,Strategy,TimeToCapture_s,PathLength_cm,StartDistance_cm,Success
1,parallel_navigation,5.5,550.0,650.79,True
2,parallel_navigation,1.37,136.67,164.44,True
3,parallel_navigation,5.32,531.67,616.02,True
4,parallel_navigation,3.62,361.67,203.02,True
5,parallel_navigation,6.65,665.0,618.86,True
