Run,Strategy,TimeToCapture_s,PathLength_cm,StartDistance_cm,Success
1,simple,3.98,398.33,650.79,True
2,simple,1.45,145.0,164.44,True
3,simple,3.7,370.0,616.02,True
4,simple,4.37,436.67,203.02,True
5,simple,6.75,675.0,618.86,True
