Run,Strategy,TimeToCapture_s,PathLength_cm,StartDistance_cm,Success
1,simple,3.95,395.0,650.79,True
2,simple,9.22,921.67,164.44,True
3,simple,3.78,378.33,616.02,True
4,simple,9.9,990.0,203.02,True
5,simple,13.48,1348.33,618.86,True
