Run,Strategy,TimeToCapture_s,PathLength_cm,StartDistance_cm,Success
1,simple,4.02,401.67,650.79,True
2,simple,1.67,166.67,164.44,True
3,simple,3.75,375.0,616.02,True
4,simple,4.38,438.33,203.02,True
5,simple,6.93,693.33,618.86,True
