Run,Strategy,TimeToCapture_s,PathLength_cm,StartDistance_cm,Success
1,simple,3.93,393.33,650.79,True
2,simple,9.2,920.0,164.44,True
3,simple,3.78,378.33,616.02,True
4,simple,9.9,990.0,203.02,True
5,simple,13.47,1346.67,618.86,True
