Run,Strategy,TimeToCapture_s,PathLength_cm,StartDistance_cm,Success
1,parallel_navigation,32.97,3296.67,650.79,True
2,parallel_navigation,16.78,1678.33,164.44,True
3,parallel_navigation,32.38,3238.33,616.02,True
4,parallel_navigation,3.15,315.0,203.02,True
5,parallel_navigation,-1,5998.33,618.86,False
