Run,Strategy,TimeToCapture_s,PathLength_cm,StartDistance_cm,Success
1,simple,3.9,390.0,650.79,True
2,simple,1.28,128.33,164.44,True
3,simple,3.63,363.33,616.02,True
4,simple,4.33,433.33,203.02,True
5,simple,6.45,645.0,618.86,True
