Run,Strategy,TimeToCapture_s,PathLength_cm,StartDistance_cm,Success
1,simple,3.92,391.67,650.79,True
2,simple,1.3,130.0,164.44,True
3,simple,3.65,365.0,616.02,True
4,simple,4.33,433.33,203.02,True
5,simple,6.5,650.0,618.86,True
