Run,Strategy,TimeToCapture_s,PathLength_cm,StartDistance_cm,Success
1,parallel_navigation,13.77,1376.67,650.79,True
2,parallel_navigation,2.05,205.0,164.44,True
3,parallel_navigation,16.67,1666.67,616.02,True
4,parallel_navigation,3.77,376.67,203.02,True
5,parallel_navigation,7.65,765.0,618.86,True
