Run,Strategy,TimeToCapture_s,PathLength_cm,StartDistance_cm,Success
1,parallel_navigation,-1,5998.33,650.79,False
2,parallel_navigation,3.42,341.67,164.44,True
3,parallel_navigation,-1,5998.33,616.02,False
4,parallel_navigation,4.05,405.0,203.02,True
5,parallel_navigation,10.13,1013.33,618.86,True
