Run,Strategy,TimeToCapture_s,PathLength_cm,StartDistance_cm,Success
1,simple,4.77,476.67,650.79,True
2,simple,9.05,905.0,164.44,True
3,simple,8.07,806.67,616.02,True
4,simple,5.43,543.33,203.02,True
5,simple,10.87,1086.67,618.86,True
