Run,Strategy,TimeToCapture_s,PathLength_cm,StartDistance_cm,Success
1,simple,3.95,395.0,650.79,True
2,simple,1.35,135.0,164.44,True
3,simple,3.67,366.67,616.02,True
4,simple,4.35,435.0,203.02,True
5,simple,6.6,660.0,618.86,True
