Run,Strategy,TimeToCapture_s,PathLength_cm,StartDistance_cm,Success
1,simple,42.65,4265.0,650.79,True
2,simple,2.55,255.0,164.44,True
3,simple,21.13,2113.33,616.02,True
4,simple,53.32,5331.67,203.02,True
5,simple,22.45,2245.0,618.86,True
