Run,Strategy,TimeToCapture_s,PathLength_cm,StartDistance_cm,Success
1,simple,10.88,1088.33,650.79,True
2,simple,9.2,920.0,164.44,True
3,simple,3.82,381.67,616.02,True
4,simple,9.88,988.33,203.02,True
5,simple,13.52,1351.67,618.86,True
